gene	R1_TamR_NS_HD	R2_TamR_NS_HD	R2_TamR_NS_LD	R2_TamR_NS_T	R2_TamR_4E_HD	R2_TamR_4E_LD	R2_TamR_4E_T	R1_TamR_NS_LD	R1_TamR_NS_T	R1_TamR_4E_HD	R1_TamR_4E_LD	R1_TamR_4E_T
1/2-SBSRNA4	29	17	62	48	26	43	47	90	56	30	80	63
A1BG	288	191	661	408	126	339	295	781	335	186	541	381
A1BG-AS1	60	26	97	60	30	70	43	86	65	30	53	46
A1CF	1	1	5	2	1	3	1	4	2	1	3	0
A2LD1	265	138	449	342	185	435	336	755	361	243	694	430
A2M	4	19	7	24	17	8	17	2	2	17	13	12
A2ML1	11	8	11	14	7	6	8	6	12	5	12	12
A2MP1	3	6	10	7	2	21	12	11	5	10	17	17
A4GALT	789	659	877	829	771	1007	742	1653	901	727	774	698
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	0	0	0	1	0	0	0	0	0	0	0	0
AAAS	4208	3089	1226	2628	3426	1654	2328	1562	3210	3396	1129	2542
AACS	2178	1939	1099	1691	2052	1333	1579	1220	1828	1989	1053	1551
AACSP1	14	5	7	10	7	7	4	25	12	10	7	13
AADAC	0	0	1	0	0	1	1	1	0	0	0	2
AADACL2	0	0	0	0	0	0	0	0	2	0	1	0
AADACL3	0	0	1	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1148	992	1025	1038	835	957	772	1312	1169	793	938	913
AAGAB	5841	5835	3583	4703	7144	4162	4613	5654	5535	5467	3815	4729
AAK1	781	1178	883	1142	1309	996	1073	651	937	855	769	923
AAMP	12820	12382	3648	9541	13368	4618	7879	4934	8897	13243	2670	8208
AANAT	16	12	15	14	9	26	13	22	10	7	15	10
AARS	13567	10864	3892	10176	14340	5670	10401	4157	12047	11659	3463	8825
AARS2	2152	2060	1822	2316	2355	1844	2146	2073	2085	1344	1430	1416
AARSD1	1665	1412	947	1369	1482	965	1122	1180	1375	1460	955	1281
AASDH	684	479	631	587	510	603	489	1054	852	382	583	503
AASDHPPT	3967	3446	2325	2748	3612	2067	2300	4391	4374	3043	2066	3127
AASS	67	98	104	111	122	106	135	120	119	49	107	108
AATF	4292	3708	1169	2881	4491	1729	2845	1217	3288	4093	1387	2913
AATK	535	639	653	718	755	910	716	551	495	597	469	482
AATK-AS1	10	8	9	13	9	15	8	4	4	5	8	8
ABAT	2308	3031	1429	2717	2606	1318	1826	1073	2210	2514	1069	2338
ABCA1	0	2	2	4	1	1	0	1	1	0	2	0
ABCA10	5	8	23	13	14	30	16	15	13	8	25	24
ABCA11P	132	133	297	187	92	289	203	260	149	143	309	203
