	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000227232.5	2	0	1	0	0	1	4	4
ENSG00000278267.1	0	0	0	0	0	0	0	0
ENSG00000243485.5	0	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0	0	0
ENSG00000186092.5	0	0	0	0	0	0	0	0
ENSG00000238009.6	0	0	3	0	0	0	0	0
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	0	0	0
ENSG00000268903.1	3	0	4	0	1	0	0	0
ENSG00000269981.1	4	0	3	0	0	0	1	0
ENSG00000239906.1	0	0	0	0	0	0	0	0
ENSG00000241860.6	1	0	2	1	0	0	2	0
ENSG00000222623.1	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0	1	0
ENSG00000279457.4	7	0	6	0	1	1	7	0
ENSG00000273874.1	0	0	0	0	0	0	0	0
ENSG00000228463.10	5	0	6	0	1	0	2	0
ENSG00000236679.2	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0
ENSG00000237094.12	5	0	1	0	2	0	4	0
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0	2	0
ENSG00000278757.1	0	0	0	0	0	0	0	0
ENSG00000230021.9	2	0	0	0	2	0	2	0
ENSG00000235146.2	0	0	0	0	0	0	0	0
ENSG00000225972.1	3	1	0	0	1	1	2	1
ENSG00000225630.1	428	186	685	351	632	362	652	900
ENSG00000237973.1	287	43	367	86	465	130	482	162
ENSG00000278791.1	0	0	0	0	0	0	0	0
ENSG00000229344.1	122	12	112	45	100	29	169	78
ENSG00000240409.1	3	0	12	1	8	0	2	7
ENSG00000248527.1	816	49	1060	192	879	85	1034	137
ENSG00000198744.5	3	3	9	0	11	3	15	12
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0
ENSG00000228327.3	3	0	8	1	3	3	4	1
ENSG00000223181.1	0	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0
ENSG00000237491.8	10	0	2	0	1	0	0	0
ENSG00000230092.7	1	0	0	1	1	0	0	0
ENSG00000177757.2	0	0	1	1	1	0	0	0
ENSG00000228794.8	44	5	48	16	39	17	35	13
ENSG00000225880.5	8	1	8	0	1	0	2	1
ENSG00000230368.2	0	0	1	0	1	0	0	0
ENSG00000234711.1	0	0	3	0	1	3	2	0
ENSG00000283040.1	0	0	0	0	0	0	0	0
ENSG00000272438.1	1	0	0	0	0	0	0	0
ENSG00000230699.2	3	0	3	0	6	0	0	0
ENSG00000241180.1	0	0	0	0	0	0	0	0
ENSG00000223764.2	0	0	0	0	0	0	1	0
ENSG00000187634.11	1	1	1	0	1	1	0	0
ENSG00000188976.10	1294	207	1046	304	1059	809	1123	831
ENSG00000187961.13	175	6	148	11	77	8	158	10
ENSG00000187583.10	88	9	98	6	59	35	80	27
ENSG00000187642.9	2	0	1	0	0	0	0	0
ENSG00000272512.1	8	0	10	1	1	0	2	0
ENSG00000188290.10	273	14	219	25	135	24	170	26
ENSG00000187608.8	4715	1072	3823	1421	917	910	1203	869
ENSG00000231702.2	0	1	0	0	0	1	0	0
ENSG00000224969.1	4	0	2	0	0	0	3	0
ENSG00000188157.14	3213	299	3479	357	2155	1161	3277	544
ENSG00000242590.1	0	0	0	0	0	0	0	0
ENSG00000217801.9	84	12	78	12	142	62	128	50
ENSG00000273443.1	2	0	2	0	0	0	3	0
ENSG00000237330.2	4	0	1	0	1	1	1	0
ENSG00000131591.17	319	11	221	28	310	61	328	73
ENSG00000223823.1	0	0	0	0	0	0	0	0
ENSG00000207730.3	0	1	0	0	0	2	0	1
ENSG00000207607.3	0	1	0	0	0	4	1	7
ENSG00000198976.1	0	0	0	0	0	0	1	0
ENSG00000272141.1	1	0	0	0	0	0	7	0
ENSG00000205231.1	0	0	0	0	0	0	0	0
ENSG00000162571.13	1	0	1	0	1	0	0	0
